iso2,zip_code,location
AT,4392,Dorfstetten
AT,4400,Steyr
AT,4407,Steyr-Gleink
AT,4421,Aschach an der Steyr
AT,4431,Haidershofen
AT,4432,Ernsthofen
AT,4441,Behamberg
AT,4442,Kleinraming
AT,4443,Maria Neustift
AT,4451,Garsten
AT,4452,Ternberg
AT,4453,Trattenbach
AT,4460,Losenstein
AT,4461,Laussa
AT,4462,Reichraming
AT,4463,Großraming
AT,4464,Kleinreifling
AT,4470,Enns
AT,4481,Asten
AT,4482,Ennsdorf
AT,4483,Hargelsberg
AT,4484,Kronstorf
AT,4490,St. Florian
AT,4491,Niederneukirchen
AT,4492,Hofkirchen im Traunkreis
AT,4493,Wolfern
AT,4501,Neuhofen an der Krems
AT,4502,St. Marien
AT,4511,Allhaming
AT,4521,Schiedlberg
AT,4522,Sierning
AT,4523,Neuzeug
AT,4531,Kematen an der Krems
AT,4532,Rohr im Kremstal
AT,4533,Piberbach
AT,4540,Bad Hall
AT,4541,Adlwang
AT,4542,Nußbach
AT,4550,Kremsmünster
AT,4551,Ried im Traunkreis
AT,4552,Wartberg an der Krems
AT,4553,Schlierbach
AT,4554,Oberschlierbach
AT,4560,Kirchdorf an der Krems
AT,4562,Steinbach am Ziehberg
AT,4563,Micheldorf
AT,4564,Klaus an der Pyhrnbahn
AT,4565,Inzersdorf im Kremstal
AT,4571,Steyrling
AT,4572,St. Pankraz
AT,4573,Hinterstoder
AT,4574,Vorderstoder
AT,4575,Roßleithen
AT,4580,Windischgarsten
AT,4581,Rosenau am Hengstpaß
AT,4582,Spital am Pyhrn
AT,4591,Molln
AT,4592,Leonstein
AT,4593,Obergrünburg
AT,4594,Grünburg
AT,4595,Waldneukirchen
AT,4596,Steinbach an der Steyr
AT,4600,Wels
AT,4611,Buchkirchen
AT,4612,Scharten
AT,4613,Mistelbach bei Wels
AT,4614,Marchtrenk
AT,4615,Holzhausen
AT,4616,Weißkirchen
AT,4621,Sipbachzell
AT,4622,Eggendorf im Traunkreis
AT,4623,Gunskirchen
AT,4624,Pennewang
AT,4625,Offenhausen
AT,4631,Krenglbach
AT,4632,Pichl bei Wels
AT,4633,Kematen am Innbach
AT,4641,Steinhaus
AT,4642,Sattledt
AT,4643,Pettenbach
AT,4644,Scharnstein
AT,4645,Grünau im Almtal
AT,4650,Lambach
AT,4651,Stadl-Paura
AT,4652,Steinerkirchen an der Traun
AT,4653,Eberstalzell
AT,4654,Bad Wimsbach-Neydharting
AT,4655,Vorchdorf
AT,4656,Kirchham
AT,4661,Roitham am Traunfall
AT,4662,Steyrermühl
AT,4663,Laakirchen
AT,4664,Oberweis
AT,4671,Neukirchen bei Lambach
AT,4672,Bachmanning
AT,4673,Gaspoltshofen
AT,4674,Altenhof am Hausruck
AT,4675,Weibern
AT,4676,Aistersheim
AT,4680,Haag am Hausruck
AT,4681,Rottenbach
AT,4682,Geboltskirchen
AT,4690,Schwanenstadt
AT,4691,Breitenschützing
AT,4692,Niederthalheim
AT,4693,Desselbrunn
AT,4694,Ohlsdorf
AT,4701,Bad Schallerbach
AT,4702,Wallern an der Trattnach
AT,4707,Schlüßlberg
AT,4710,Grieskirchen
AT,4712,Michaelnbach
AT,4713,Gallspach
AT,4714,Meggenhofen
AT,4715,Taufkirchen an der Trattnach
AT,4716,Hofkirchen an der Trattnach
AT,4720,Neumarkt im Hausruckkreis
AT,4721,Altschwendt
AT,4722,Peuerbach
AT,4723,Natternbach
AT,4724,Neukirchen am Walde
AT,4725,St. Aegidi
AT,4730,Waizenkirchen
AT,4731,Prambachkirchen
AT,4732,St. Thomas
AT,4733,Heiligenberg
AT,4741,Wendling
AT,4742,Pram
AT,4743,Peterskirchen
AT,4751,Dorf
AT,4752,Riedau
AT,4753,Taiskirchen im Innkreis
AT,4754,Andrichsfurt
AT,4755,Zell an der Pram
AT,4760,Raab
AT,4761,Enzenkirchen
AT,4762,St. Willibald
AT,4770,Andorf
AT,4771,Sigharting
AT,4772,Lambrechten
AT,4773,Eggerding
AT,4774,St. Marienkirchen bei Schärding
AT,4775,Taufkirchen an der Pram
AT,4776,Diersbach
AT,4777,Mayrhof
AT,4780,Schärding
AT,4782,St. Florian am Inn
AT,4783,Wernstein am Inn
AT,4784,Schardenberg
AT,4785,Freinberg
AT,4786,Brunnenthal
AT,4791,Rainbach im Innkreis
AT,4792,Münzkirchen
AT,4793,St. Roman
AT,4794,Kopfing im Innkreis
AT,4800,Attnang-Puchheim
AT,4801,Traunkirchen
AT,4802,Ebensee
AT,4810,Gmunden
AT,4812,Pinsdorf
AT,4813,Altmünster
AT,4814,Neukirchen
AT,4816,Gschwandt
AT,4817,St. Konrad
AT,4820,Bad Ischl
AT,4821,Lauffen
AT,4822,Bad Goisern am Hallstättersee
AT,4823,Steeg
AT,4824,Gosau
AT,4825,Gosau-Hintertal
AT,4830,Hallstatt
AT,4831,Obertraun
AT,4840,Vöcklabruck
AT,4841,Ungenach
AT,4842,Zell am Pettenfirst
AT,4843,Ampflwang
AT,4844,Regau
AT,4845,Rutzenmoos
AT,4846,Redlham
AT,4849,Puchkirchen am Trattberg
AT,4850,Timelkam
AT,4851,Gampern
AT,4852,Weyregg am Attersee
AT,4853,Steinbach am Attersee
AT,4854,Weißenbach
AT,4860,Lenzing
AT,4861,Schörfling
AT,4863,Seewalchen am Attersee
AT,4864,Attersee
AT,4865,Nußdorf am Attersee
AT,4866,Unterach
AT,4870,Vöcklamarkt
AT,4871,Zipf
AT,4872,Neukirchen an der Vöckla
