iso2,location,zip_code,route, 
FR,ST VINCENT DE BARRES,07210,,
FR,SCEAUTRES,07400,,
FR,LA SOUCHE,07380,,
FR,VAGNAS,07150,,
FR,VALGORGE,07110,,
FR,VALS LES BAINS,07600,,
FR,VAUDEVANT,07410,,
FR,VEYRAS,07000,,
FR,VIVIERS,07220,,
FR,ALINCOURT,08310,,
FR,ARNICOURT,08300,,
FR,AUSSONCE,08310,,
FR,AUTHE,08240,,
FR,AUVILLERS LES FORGES,08260,,
FR,BAALONS,08430,,
FR,BANOGNE RECOUVRANCE,08220,,
FR,BARBAISE,08430,,
FR,BAR LES BUZANCY,08240,,
FR,BAZEILLES,08140,VILLERS CERNAY,
FR,BERTONCOURT,08300,,
FR,BLANZY LA SALONNAISE,08190,,
FR,BLOMBAY,08260,,
FR,BOSSUS LES RUMIGNY,08290,,
FR,BOUVELLEMONT,08430,,
FR,BRIENNE SUR AISNE,08190,,
FR,LA CHAPELLE,08200,,
FR,CHARDENY,08400,,
FR,BAIRON ET SES ENVIRONS,08400,LES ALLEUX,
FR,CONTREUVE,08400,,
FR,DAIGNY,08140,,
FR,LES DEUX VILLES,08110,,
FR,DOUMELY BEGNY,08220,,
FR,DOUX,08300,,
FR,L ECHELLE,08150,,
FR,ECLY,08300,,
FR,FLAIGNES HAVYS,08260,HAVYS,
FR,FLOING,08200,,
FR,FRAILLICOURT,08220,,
FR,FUMAY,08170,,
FR,GERMONT,08240,,
FR,GESPUNSART,08700,,
FR,GIRONDELLE,08260,,
FR,GLAIRE,08200,,
FR,GOMONT,08190,,
FR,GRANDPRE,08250,TERMES,
FR,HANNOGNE ST REMY,08220,,
FR,HARGNIES,08170,,
FR,HARRICOURT,08240,,
FR,HAUDRECY,08090,,
FR,HERPY L ARLESIENNE,08360,,
FR,HOULDIZY,08090,,
FR,LAIFOUR,08800,LA PETITE COMMUNE,
FR,LANCON,08250,,
FR,LANDRES ET ST GEORGES,08240,,
FR,LETANNE,08210,,
FR,LONNY,08150,,
FR,MARBY,08260,,
FR,MARCQ,08250,,
FR,MAUBERT FONTAINE,08260,,
FR,MENIL ANNELLES,08310,,
FR,MESMONT,08270,,
FR,MOGUES,08110,,
FR,LA MONCELLE,08140,,
FR,MONTCORNET,08090,,
FR,MOURON,08250,,
FR,NANTEUIL SUR AISNE,08300,,
FR,LA NEUVILLE EN TOURNE A FUY,08310,,
FR,NOVION PORCIEN,08270,,
FR,NOYERS PONT MAUGIS,08350,,
FR,OLIZY PRIMAT,08250,PRIMAT,
FR,PAUVRES,08310,,
FR,PUILLY ET CHARBEAUX,08370,,
FR,REMILLY AILLICOURT,08450,,
FR,ROCROI,08230,,
FR,LA ROMAGNE,08220,,
FR,ROUVROY SUR AUDRY,08150,,
FR,ST GERMAINMONT,08190,,
FR,ST JEAN AUX BOIS,08220,,
FR,ST LAURENT,08090,,
FR,ST LOUP TERRIER,08130,,
FR,ST MARCEL,08460,,
FR,ST REMY LE PETIT,08300,,
FR,STE VAUBOURG,08130,,
FR,SAPOGNE ET FEUCHERES,08160,,
FR,SAULCES MONCLIN,08270,,
FR,SECHEVAL,08150,,
FR,SERAINCOURT,08220,FOREST,
FR,SEVIGNY WALEPPE,08220,,
FR,SORBON,08300,,
FR,SORMONNE,08150,,
FR,TOURCELLES CHAUMONT,08400,,
FR,TOURNAVAUX,08800,,
FR,VAUX CHAMPAGNE,08130,,
FR,VAUX LES RUBIGNY,08220,,
FR,VERRIERES,08390,,
FR,VILLERS LE TILLEUL,08430,,
FR,VILLERS LE TOURNEUR,08430,,
FR,VILLERS SUR LE MONT,08430,,
FR,VILLE SUR RETOURNE,08310,,
FR,VOUZIERS,08400,,
FR,L AIGUILLON,09300,,
FR,ALLIAT,09400,,
FR,ARABAUX,09000,,
FR,ARROUT,09800,,
FR,BALAGUERES,09800,,
FR,BEDEILHAC ET AYNAT,09400,,
FR,BOMPAS,09400,,
FR,BORDES UCHENTEIN,09800,UCHENTEIN,
FR,BRASSAC,09000,,
FR,LES CABANNES,09310,,
FR,CAZAVET,09160,,
FR,CAZENAVE SERRES ET ALLENS,09400,,
FR,CESCAU,09800,,
FR,CLERMONT,09420,,
FR,CRAMPAGNA,09120,,
FR,DUN,09600,,
FR,DUN,09600,ENGRAVIES,
FR,DUN,09600,SENESSE DE SENABUGUE,
FR,ESCLAGNE,09600,,
FR,ESCOSSE,09100,,
FR,ESPLAS DE SEROU,09420,,
FR,FOIX,09000,,
FR,FORNEX,09350,,
FR,GALEY,09800,,
FR,GUDAS,09120,,
FR,ILLIER ET LARAMADE,09220,,
FR,LES ISSARDS,09100,,
FR,JUSTINIAC,09700,,
FR,LANOUX,09130,,
FR,LARCAT,09310,,
FR,LAVELANET,09300,,
FR,LESCURE,09420,,
FR,LOUBENS,09120,,
FR,LUDIES,09100,,
FR,LE MAS D AZIL,09290,,
FR,MASSAT,09320,,
FR,MERCUS GARRABET,09400,,
FR,MERIGON,09230,,
FR,MONTAGAGNE,09240,,
FR,MONTBEL,09600,,
FR,MONTEGUT EN COUSERANS,09200,,
FR,MONTEGUT PLANTAUREL,09120,,
FR,MONTFA,09350,,
FR,MONTSEGUR,09300,,
FR,NESCUS,09240,,
FR,ORGIBET,09800,,
FR,PAMIERS,09100,,
FR,LE PLA,09460,,
FR,PRADETTES,09600,,
FR,PRAT BONREPAUX,09160,,
FR,PRAYOLS,09000,,
FR,LES PUJOLS,09100,,
FR,RABAT LES TROIS SEIGNEURS,09400,,
FR,RAISSAC,09300,,
FR,REGAT,09600,,
FR,ROQUEFORT LES CASCADES,09300,,
FR,ST PIERRE DE RIVIERE,09000,,
FR,TARASCON SUR ARIEGE,09400,BANAT,
FR,TEILHET,09500,,
FR,TIGNAC,09110,,
FR,LA TOUR DU CRIEU,09100,,
FR,TROYE D ARIEGE,09500,,
FR,VALS,09500,,
FR,VEBRE,09310,,
FR,VENTENAC,09120,,
FR,VERDUN,09310,,
FR,VERNAJOUL,09000,,
FR,VERNIOLLE,09340,,
FR,VAL DE SOS,09220,SUC ET SENTENAC,
FR,VAL DE SOS,09220,VICDESSOS,
FR,VILLENEUVE,09800,,
FR,VILLENEUVE DU LATOU,09130,,
FR,ALLIBAUDIERES,10700,,
FR,AMANCE,10140,,
FR,ARREMBECOURT,10330,,
FR,AVANT LES MARCILLY,10400,,
FR,AVON LA PEZE,10290,,
FR,BALNOT LA GRANGE,10210,,
FR,BERCENAY EN OTHE,10190,,
FR,BERTIGNOLLES,10110,,
FR,BOSSANCOURT,10140,,
FR,BOURGUIGNONS,10110,,
FR,BRAGELOGNE BEAUVOIR,10340,BEAUVOIR SUR SARCE,
FR,BRIENNE LA VIEILLE,10500,,
FR,BRILLECOURT,10240,,
FR,LA CHAISE,10500,,
FR,CHAMPIGNOL LEZ MONDEVILLE,10200,,
FR,CHAMP SUR BARSE,10140,,
FR,CHASEREY,10210,,
FR,CHATRES,10510,,
FR,CHAUMESNIL,10500,,
FR,CHAVANGES,10330,,
FR,CHENNEGY,10190,,
FR,CHESLEY,10210,,
FR,CHESSY LES PRES,10130,,
FR,COLOMBE LE SEC,10200,,
FR,COURTAOULT,10130,,
FR,COURTERANGES,10270,,
FR,CRENEY PRES TROYES,10150,ARGENTOLLES,
FR,CRESANTIGNES,10320,,
FR,LES CROUTES,10130,,
FR,DOLANCOURT,10200,,
FR,DONNEMENT,10330,,
FR,ERVY LE CHATEL,10130,,
FR,FAUX VILLECERF,10290,,
FR,FONTAINE LES GRES,10280,,
FR,FRESNOY LE CHATEAU,10270,,
FR,GERAUDOT,10220,,
FR,ISLE AUBIGNY,10240,,
FR,JAVERNANT,10320,,
FR,JESSAINS,10140,,
FR,JONCREUIL,10330,,
FR,JUVANCOURT,10310,,
FR,JUVANZE,10140,,
FR,LIREY,10320,,
FR,LONGEVILLE SUR MOGNE,10320,,
FR,LONGUEVILLE SUR AUBE,10170,,
FR,LUSIGNY SUR BARSE,10270,,
FR,MAILLY LE CAMP,10230,,
FR,MAIZIERES LES BRIENNE,10500,,
FR,MATHAUX,10500,,
FR,MERREY SUR ARCE,10110,,
FR,MESNIL ST LOUP,10190,,
FR,MESNIL ST PERE,10140,,
FR,MEURVILLE,10200,,
FR,MONTIGNY LES MONTS,10130,,
FR,LES NOES PRES TROYES,10420,,
FR,NOGENT SUR AUBE,10240,,
FR,NOGENT SUR SEINE,10400,,
FR,ORVILLIERS ST JULIEN,10170,,
FR,PERTHES LES BRIENNE,10500,,
FR,POLISOT,10110,,
FR,POUGY,10240,,
FR,PREMIERFAIT,10170,,
